,accuracy,avg_confidence,avg_latency,avg_prediction_changes,total_samples,chunk_duration_ms
50,0.09090909090909091,0.18965051119977777,4.5,0.2727272727272727,11.0,500.0
100,0.09090909090909091,0.18969866768880325,4.818181818181818,0.0,11.0,1000.0
150,0.09090909090909091,0.1831716759638353,4.909090909090909,0.0,11.0,1500.0
200,0.09090909090909091,0.1838847425850955,5.454545454545454,0.0,11.0,2000.0
250,0.09090909090909091,0.1801774095405232,5.2272727272727275,0.0,11.0,2500.0
300,0.09090909090909091,0.1812718862837011,6.0,0.0,11.0,3000.0
400,0.09090909090909091,0.18091856755993582,6.909090909090909,0.0,11.0,4000.0
500,0.09090909090909091,0.16922245919704437,5.454545454545454,0.0,11.0,5000.0
